external_id,title,company,domain_tag,total_skills,core_count
238355,Business Finance Analyst and Controller (H/F),AIRBUS HELICOPTERS,finance,3,0
242506,VIE – Completion Management System Coordinator (M/F) (H/F),TECHNIP ENERGIES FRANCE,engineering,3,0
236438,VMS Tool Officer (H/F),INNOHA,hr,3,0
242404,Chargé de relation clients (H/F),DUO INDUSTRIE,sales,3,0
242114,Analyste en conception de silicium (H/F),STMICROELECTRONICS (CROLLES 2) SAS,data,3,0
238423,Contrôleur de gestion industriel (H/F),SMA,finance,3,0
242078,AI Transformation & Adoption Manager (H/F),SERVIER INTERNATIONAL,data,3,0
242227,Ingénieur conception mécanique (H/F),FRATECH RP,engineering,3,0
238327,INGÉNIEUR PROCESS (H/F),FORTIL GROUP,engineering,3,0
238413,PROGRAM MANAGER (H/F),VUSIONGROUP,supply,3,0
236301,Chargé(e) de Mission – Performance & Process IT (H/F),TOTALENERGIES RAFFINAGE CHIMIE,operations,3,0
237112,Chargé(e) de la transformation digitale (H/F),TOTALENERGIES SE,supply,3,0
242509,VIE - Data Project Leader (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,supply,3,0
238250,Qualité Fabrication Back-End (H/F),STMICROELECTRONICS (GRENOBLE 2) SAS,finance,3,0
242295,Chargé de projet (H/F),KEPLER CHEUVREUX,sales,3,0
242310,Client Service Officer - Desk ECN (Europe Centrale et du Nord) H/F (H/F),CA INDOSUEZ,finance,3,0
242184,AML KYC Analyst (H/F),ENGIE GLOBAL MARKETS,sales,3,0
238318,Business Development Espagne (F/H) (H/F),PROTECTUS,sales,3,0
237852,Full-stack Developer Java & Angular/React (H/F),ALTEN,data,3,0
232103,BARLEY PLANNING COORDINATOR (M/F) (H/F),MALTERIES FRANCO SUISSES SA,supply,3,0
242370,Field Service Business Operations & Digital Transformation Latin America (H/F),AIRBUS OPERATIONS,sales,3,0
237877,COORDINATEUR INGENIERIE & DOCUMENTATION D’EXECUTION ENERGIES RENOUVELABLES (H/F),TELCO OI,supply,3,0
242042,AI Engineer Service Now (H/F),SEVEN PORTAGE,engineering,3,0
237820,BUSINESS & TECHNOLOGY ENGINEER M/F (H/F),ALTA ARES,sales,3,0
242133,Process Engineer (H/F),ADISSEO FRANCE S.A.S.,engineering,3,0
230383,OPERATIONS MANAGER (H/F),NAVITRANS FRANCE,supply,3,0
242162,Business Manager (H/F),SCALIAN,sales,3,0
238102,Sales engineer (H/F) - Parlant Chinois,HUTCHINSON,sales,3,0
242043,Data Scientist (H/F),ILIAD,data,3,0
236333,Ingénieur EHS & Ingénieur Général CAPEX (Industrie Pharmaceutique) (H/F),AMARIS FRANCE SAS,engineering,3,0
240150,Business Developer Allemagne – Photovoltaïque F/H (H/F),IDEX SERVICES,supply,3,0
231676,CONSULTANT INGENIEUR PROCESS FABRICATION H/F (H/F),EFE INTERNATIONAL,engineering,3,0
242149,CHARGE GESTION ADMISTRATIVE ET FINANCIERE (H/F),WIRE GROUP,finance,3,0
240152,SAP Functional Analyst - Spanish Speaker F/M (H/F),VINCI ENERGIES SYSTEMES D INFORMATION,data,3,0
238375,BUSINESS DEVELOPER EXPORT (H/F),RESONE,sales,3,0
242097,Chef de Projet Process & ERP (H/F),OLMIX,supply,3,0
242262,VIA Chargé(e) de Développement Tech & Services | Art de Vivre & Santé à Sandton (H/F),BUSINESS FRANCE,supply,3,0
238054,INGENIEUR D’AFFAIRES (H/F),NGEN LILLE,engineering,3,0
242434,VIE Cost Control Assistant (H/F),BOUYGUES TRAVAUX PUBLICS,finance,3,0
242268,VIE Business Analyst / Project Coordinator - Financial Services (French Speaker) (H/F),MERITIS,operations,3,0
238346,Digital Account Manager - FR & ITALIAN MARKET (H/F),CAR DATA,sales,3,0
BF-242362,Development Technician VIE (HR) (H/F),HUTCHINSON,hr,3,0
242254,Key Account assistant (H/F),FINDUS FRANCE,sales,3,0
242023,Fleet Coordinator (H/F),AMARIS FRANCE SAS,supply,3,0
242440,VIE/PANGEO Contrôleur de gestion [H/F] (H/F),VEOLIA ENVIRONNEMENT,finance,3,0
242220,Ingénieur projet (H/F),FRATECH RP,engineering,3,0
242241,Business développeur (H/F),VAKARIO,sales,3,0
242366,INGENIEUR QUALITE – SHANGHAI (H/F),GBH,finance,3,0
242136,INGÉNIEUR technico-commercial (H/F),DIGITECH,sales,3,0
236446,Assistant Finance et Administration (H/F),EFE INTERNATIONAL,finance,3,0
238322,V.I.E Electrical Commissioning Coordinator F/M (H/F),TECHNIP ENERGIES FRANCE,engineering,2,0
242022,Ingénieur(e) risques industriels (H/F),NEODYME,engineering,2,0
242272,Sales Coordinator (H/F),ROTORTRADE,sales,2,0
238337,Compliance Technician (H/F),CREDIT AGRICOLE ASSURANCES SOLUTIONS,legal,2,0
242486,Accountant and credit management assistant (H/F),AVIONS TRANSPORT REGIONAL,finance,2,0
238216,Business Developer / Technico-Commercial (H/F),TECHNICIS,sales,2,0
232033,DESIGNER UX/UI (H/F),HELLO POMELO,engineering,2,0
238391,CONSULTANT SAP (H/F),CONSEILS PLUS,finance,2,0
238122,Junior Industrial Performance Specialist VIE (H/F),LHOIST FRANCE,engineering,2,0
238036,VIE CHINE - INGENIEUR ADAPTATION PRODUITS et SUPPORT TECHNIQUE/QUALITE (M/F) (H/F),PELLENC,engineering,2,0
242288,International Procurement Manager (H/F),AIRBUS,sales,2,0
242535,Asia Staffing Lead (H/F),SYSTRA,hr,2,0
238212,VIE - Project Quality REM project (H/F),ALSTOM TRANSPORT SA,engineering,2,0
239997,Chargé d'Intégration et Développement (H/F),DELTA PLUS GROUP,data,2,0
242335,ASSISTANT COMPTABILITE F/H (H/F) BODEN (SUEDE),EIFFAGE INTERNATIONAL,finance,2,0
237196,FUNCTIONAL ANALYST (H/F) (M/F),AUDENSIEL NORD,operations,2,0
242168,INGENIEUR METHODES MECANIQUE (H/F),NGEN LILLE,finance,2,0
238320,B2B Marketing Officer (H/F),AMARIS FRANCE SAS,marketing,2,0
242209,Développeur PHP junior (H/F),MOONGY,data,2,0
191960,FIELD SALES ENGINEER H/F (VIE NORDIC - STOCKHOLM) (H/F),SELTECH,sales,2,0
238309,Business Analyst core Banking F/h (H/F),BRED BANQUE POPULAIRE,operations,2,0
237658,Finance (H/F),VICAT,finance,2,0
242504,Supply Chain Manager in Singapore (H/F),AIRBUS,supply,2,0
238254,Contrôleur de gestion (H/F),EQUANS,finance,2,0
242095,VIE – Sourcing Digitalization Analyst (H/F),FAIVELEY TRANSPORT,data,2,0
238312,HYDRAULICS BUYERS (H/F),CNH INDUSTRIAL FRANCE,supply,2,0
238308,Sales and Marketing Assistant (H/F),BOIRON FRERES,sales,2,0
242522,Business Manager (H/F),BESSAND RECRUTEMENT,sales,2,0
242325,Consultant SAP Logistics (H/F),SOPRA STERIA GROUP,supply,2,0
242330,VIE SITE ENGINEER HF (H/F),BOUYGUES ENERGIES & SERVICES,supply,2,0
242113,Ingénieur Environnement et Développement Durable (H/F),TOTALENERGIES SE,engineering,2,0
242377,ADVANCED TALENT MANAGER (H/F),TALEO CONSULTING,hr,2,0
235753,CONSULTANT.E EN RECRUTEMENT (H/F),BRUCE,hr,2,0
238294,Energy Advisory Analyst - Brussels (H/F),SLR CONSULTING FRANCE SAS,sales,2,0
232729,CHARGE.E DE PROJET (H/F),IKA,engineering,2,0
240119,Mechanical Design Engineer | Aeronautics (H/F),ALTRAN TECHNOLOGIES,engineering,2,0
238079,Project Manager – Substation Construction (H/F),EIFFAGE ENERGIE SYSTEMES - GESTION & DEVELOPPEMENT,operations,2,0
237102,LEAN PILOT / REPUBLIQUE TCHEQUE (H/F),"TREVES PRODUCTS, SERVICES & INNOVATION",operations,2,0
238314,BUSINESS DEVELOPER (H/F),TWYCE,engineering,2,0
236730,PROCUREMENT CONSULTANT M/F (H/F),EUROPEENNE DE PROMOTION SA,supply,2,0
240134,Contrôleur de Gestion / ADV (H/F),FORTIL GROUP,finance,2,0
242400,VIE - Supply Portfolio Manager B2B (H/F),ENGIE GLOBAL MARKETS,sales,2,0
242070,Ingénieur Robotique et Systèmes de fabrication autonome (H/F),VORWERK SEMCO,finance,2,0
238361,Junior Technical Account Engineer (H/F),LUMAPPS,sales,2,0
242346,VIE - BUSINESS CONTROLLER M/F (H/F),VOLTALIA,finance,2,0
237369,VIE Auditeur Interne (H/F),CA INDOSUEZ,finance,2,0
238357,ACHETEUR (H/F),KLB,supply,2,0
238197,Business Developer - VIE - Barcelone (H/F),FLASH CONTRACT,engineering,2,0
232755,CONSULTANT PROJECT MANAGER M/F (H/F),EFE INTERNATIONAL,operations,2,0
242478,Finance Analyst (H/F),SANOFI WINTHROP INDUSTRIE,supply,2,0
240125,BUSINESS CONTROLLER (H/F),KLEPIERRE MANAGEMENT,finance,2,0
242147,BUSINESS MANAGER PAYS-BAS (H/F),ALDEBARAN GROUP,sales,2,0
242421,IT Recruitment Specialist (H/F) (M/F/X),AUDENSIEL NORD,hr,2,0
238393,Conseiller/Conseillère en affaires publiques (H/F),GEOPOST,operations,2,0
237996,Mid Project Manager (H/F),ASF ACT DIGITAL,operations,2,0
236398,Talent Acquisition Specialist (H/F),ALPINEO CONSULTING LYON,hr,2,0
242225,Conducteur de travaux (H/F),FRATECH RP,engineering,2,0
238295,Energy Advisory Analyst (H/F),SLR CONSULTING FRANCE SAS,sales,2,0
242541,CONTROLEUR DE GESTION (H/F) - BELGIQUE,TOTALENERGIES RAFFINAGE CHIMIE,finance,2,0
238148,Project Management Officer (PMO) | Life Sciences (H/F),ALTRAN TECHNOLOGIES,engineering,2,0
242420,INGÉNIEUR DIGITALISATION 4.0 (H/F),FORTIL GROUP,engineering,2,0
237358,Consultant en recrutement (H/F),TALENTPEOPLE,hr,2,0
238265,Supply Chain Continuous Improvement Specialist (H/F),SAFRAN CABIN FRANCE,supply,2,0
238426,INTERNATIONAL BUSINESS DEVELOPER (H/F),HEF MECANIQUE ET SURFACES,sales,2,0
238433,VIE – Business Development & Distribution Network Coordinator – Equine Veterinary Sector (Sweden) (H/F),LIM FRANCE,sales,2,0
238352,Customer Operations & Commercial Support Associate (H/F),TISSIUM,supply,2,0
241003,BUSINESS DEVELOPER - ACCOUNT MANAGER (H/F),BK CONSULTING FRANCE,sales,2,0
242553,Coordinateur Opérations Industrielles (H/F),REVALOREM,supply,2,0
236537,Strategic Account Manager (H/F),J2S3,sales,2,0
