external_id,title,company,country,domain_tag,confidence,method,evidence
242449,Junior Buyer (H/F),PAYFIT,ESPAGNE,supply,0.4,rules,"[""buyer"", ""acheteur"", ""fournisseur""]"
242171,Mechanical Engineer (H/F),GROUPE ATLANTIC SYNERGY,ROUMANIE,engineering,0.4,rules,"[""engineer""]"
236230,NUCLEAR PROJECT ENGINEER (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,BELGIQUE,engineering,0.4,rules,"[""engineer""]"
238010,Oracle HCM Developer (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.4,rules,"[""developer""]"
230520,PRODUCT OWNER E-COMMERCE (H/F),HELLO POMELO,ESPAGNE,admin,0.4,rules,"[""office"", ""support""]"
242539,Sales Coordinator (H/F),NAOS,BELGIQUE,sales,0.4,rules,"[""sales""]"
237493,Technology training support (H/F),ENAEX EUROPE,CHILI,admin,0.4,rules,"[""support""]"
237501,Technology training support (H/F),ENAEX EUROPE,AUSTRALIE,admin,0.4,rules,"[""support""]"
237500,Technology training support (H/F),ENAEX EUROPE,BRESIL,admin,0.4,rules,"[""support""]"
242339,Test & Commissioning (H/F),ALSTOM TRANSPORT SA,ETATS-UNIS,operations,0.4,rules,"[""project"", ""manager""]"
236744,VIE - Quality Engineer - Zalaegerszeg (Hungary) (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,HONGRIE,engineering,0.4,rules,"[""engineer""]"
242208,VIE JUNIOR SURVEYOR UNITED KINGDOM H/F (H/F),BOUYGUES TRAVAUX PUBLICS,ROYAUME-UNI,admin,0.4,rules,"[""office"", ""support""]"
242460,Airline Marketing Analyst (H/F),AIRBUS,JAPON,sales,0.4167,rules,"[""sales"", ""business"", ""client"", ""vente"", ""revenue""]"
242117,Acheteur(se) Programme (H/F),SAFRAN LANDING SYSTEMS,CANADA,supply,0.4286,rules,"[""transport"", ""acheteur""]"
237820,BUSINESS & TECHNOLOGY ENGINEER M/F (H/F),ALTA ARES,ALLEMAGNE,sales,0.4286,rules,"[""business"", ""commercial""]"
238307,BUSINESS MANAGER PAYS-BAS (H/F),ALDEBARAN GROUP,PAYS-BAS,sales,0.4286,rules,"[""business"", ""commercial""]"
242147,BUSINESS MANAGER PAYS-BAS (H/F),ALDEBARAN GROUP,PAYS-BAS,sales,0.4286,rules,"[""business"", ""commercial""]"
237974,Business Developer (H/F),NEXELEC,ALLEMAGNE,sales,0.4286,rules,"[""business"", ""commercial""]"
231967,COMPLIANCE ANALYST M/F (H/F),CLEEVEN ND,BELGIQUE,legal,0.4286,rules,"[""legal"", ""compliance""]"
242302,Finance Compliance (H/F),AIRBUS,PORTUGAL,legal,0.4286,rules,"[""legal"", ""compliance""]"
242264,HR Performance Consultant (H/F),AYMING,BELGIQUE,hr,0.4286,rules,"[""hr"", ""payroll""]"
237228,Industrial Injection Engineer (H/F),PLASTIC OMNIUM AUTO EXTERIEUR SERVICES,MAROC,engineering,0.4286,rules,"[""engineer"", ""automation""]"
227716,JUNIOR WAGON ENGINEER (H/F),TOUAX CORPORATE,ALLEMAGNE,operations,0.4286,rules,"[""operations"", ""process"", ""manager""]"
242523,Junior Portfolio Management Analyst (H/F),CA INDOSUEZ,ITALIE,data,0.4286,rules,"[""data"", ""analyst""]"
