skill_uri,label,count,frequency_ratio,cluster_count,dominant_cluster,dominant_cluster_share,max_concentration
,initiative,82,0.09774,6,DATA_IT,0.549,1.205
,managers,82,0.09774,6,DATA_IT,0.329,2.317
,construction,81,0.09654,6,DATA_IT,0.321,1.563
,challenges,81,0.09654,6,DATA_IT,0.457,1.368
,monitoring,81,0.09654,6,DATA_IT,0.519,1.504
,project management,81,0.09654,6,DATA_IT,0.494,1.337
,organization,81,0.09654,6,DATA_IT,0.58,1.625
,other,81,0.09654,6,DATA_IT,0.506,1.32
,redaction,81,0.09654,6,DATA_IT,0.506,1.203
,respect,81,0.09654,6,DATA_IT,0.457,2.22
,delivery,80,0.09535,6,DATA_IT,0.55,1.498
,industrial,80,0.09535,5,DATA_IT,0.425,2.233
,learn,80,0.09535,6,DATA_IT,0.562,1.235
,drive,80,0.09535,6,DATA_IT,0.637,1.4
,evoluer,79,0.09416,6,DATA_IT,0.494,1.803
,energie,79,0.09416,6,DATA_IT,0.38,1.713
,written,79,0.09416,6,DATA_IT,0.519,1.542
,practices,78,0.09297,6,DATA_IT,0.577,1.388
,control,78,0.09297,7,DATA_IT,0.462,10.756
,opportunities,78,0.09297,6,DATA_IT,0.538,1.582
,optimisation,78,0.09297,6,DATA_IT,0.41,1.921
,complexes,78,0.09297,6,DATA_IT,0.449,1.596
,industriel,78,0.09297,6,DATA_IT,0.372,1.874
,tasks,78,0.09297,6,DATA_IT,0.564,1.388
,il,77,0.09178,6,DATA_IT,0.455,1.85
,market,77,0.09178,6,DATA_IT,0.416,3.205
,strategic,77,0.09178,6,DATA_IT,0.494,2.03
,power,77,0.09178,6,DATA_IT,0.675,1.483
,relationnel,77,0.09178,6,DATA_IT,0.506,1.85
,languages,77,0.09178,6,DATA_IT,0.597,1.312
,detail,77,0.09178,6,DATA_IT,0.455,2.285
,avant,77,0.09178,6,DATA_IT,0.351,1.547
,mecanique,77,0.09178,5,ENGINEERING_INDUSTRY,0.597,3.234
,collaborer,77,0.09178,6,DATA_IT,0.571,1.297
,growth,76,0.09058,5,DATA_IT,0.5,2.706
,science,76,0.09058,6,DATA_IT,0.553,1.214
,controle,76,0.09058,6,DATA_IT,0.316,3.917
,sera,75,0.08939,6,DATA_IT,0.4,1.9
,job,75,0.08939,6,DATA_IT,0.56,1.426
,open,75,0.08939,6,DATA_IT,0.547,1.206
,customers,75,0.08939,5,DATA_IT,0.413,2.193
,structure,75,0.08939,6,DATA_IT,0.307,1.9
,realisation,75,0.08939,6,DATA_IT,0.467,1.516
http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787,informatique,74,0.0882,4,DATA_IT,0.919,2.018
,suivantes,74,0.0882,6,DATA_IT,0.392,1.646
,lien,74,0.0882,6,DATA_IT,0.392,1.485
,who,74,0.0882,5,DATA_IT,0.622,1.365
,pratiques,74,0.0882,6,DATA_IT,0.568,1.247
,leurs,74,0.0882,6,DATA_IT,0.419,1.925
,plusieurs,74,0.0882,6,DATA_IT,0.527,1.284
,genie,74,0.0882,5,ENGINEERING_INDUSTRY,0.473,2.56
,professionnel,74,0.0882,6,DATA_IT,0.324,1.925
,technology,73,0.08701,6,DATA_IT,0.726,1.595
,over,73,0.08701,5,DATA_IT,0.575,1.264
,seront,73,0.08701,6,DATA_IT,0.397,2.602
,decision,73,0.08701,6,DATA_IT,0.548,1.483
,profile,73,0.08701,6,DATA_IT,0.452,1.577
,but,73,0.08701,6,DATA_IT,0.438,1.465
,automation,73,0.08701,5,DATA_IT,0.658,1.444
,people,73,0.08701,5,DATA_IT,0.534,1.779
,direction,73,0.08701,6,DATA_IT,0.301,2.224
,chain,72,0.08582,6,DATA_IT,0.431,2.774
,first,72,0.08582,6,DATA_IT,0.569,1.251
,both,72,0.08582,6,DATA_IT,0.639,1.403
,driven,72,0.08582,5,DATA_IT,0.597,1.312
,collaborateurs,71,0.08462,6,DATA_IT,0.366,1.338
,domaines,71,0.08462,6,DATA_IT,0.465,1.561
,financial,71,0.08462,6,DATA_IT,0.535,3.812
,opportunity,71,0.08462,6,DATA_IT,0.563,1.237
,while,71,0.08462,6,DATA_IT,0.507,1.334
,capacites,71,0.08462,6,DATA_IT,0.465,1.144
,resultats,71,0.08462,6,DATA_IT,0.451,1.334
,documents,71,0.08462,7,ENGINEERING_INDUSTRY,0.296,11.817
,professionnelle,71,0.08462,6,DATA_IT,0.479,1.784
http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,développement par itérations,70,0.08343,6,DATA_IT,0.686,1.506
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,gestion de projets par méthode agile,70,0.08343,6,DATA_IT,0.686,1.506
,affaires,70,0.08343,6,MARKETING_SALES,0.229,2.9
,managing,70,0.08343,6,DATA_IT,0.557,1.224
,build,70,0.08343,6,DATA_IT,0.529,2.35
,take,70,0.08343,6,DATA_IT,0.429,1.528
,countries,70,0.08343,5,DATA_IT,0.571,1.255
,why,70,0.08343,6,DATA_IT,0.429,1.315
,tres,70,0.08343,6,DATA_IT,0.357,1.933
,relation,70,0.08343,6,DATA_IT,0.357,1.763
,industrie,70,0.08343,6,DATA_IT,0.3,1.855
,courant,69,0.08224,6,DATA_IT,0.478,1.255
,assist,69,0.08224,6,DATA_IT,0.493,1.373
,external,69,0.08224,6,DATA_IT,0.565,1.241
,prepare,69,0.08224,6,DATA_IT,0.478,1.765
,coordinate,69,0.08224,6,DATA_IT,0.449,1.377
,make,69,0.08224,5,DATA_IT,0.667,1.464
,fort,69,0.08224,6,DATA_IT,0.493,1.377
,langues,69,0.08224,6,DATA_IT,0.449,1.377
,reseau,68,0.08105,6,DATA_IT,0.368,1.573
,also,68,0.08105,6,DATA_IT,0.544,1.21
,using,68,0.08105,6,DATA_IT,0.603,1.324
,erp,68,0.08105,6,DATA_IT,0.456,2.786
,autonome,68,0.08105,6,DATA_IT,0.471,1.322
,environnements,67,0.07986,6,DATA_IT,0.448,1.35
,life,67,0.07986,6,DATA_IT,0.373,1.789
,language,67,0.07986,6,DATA_IT,0.522,1.414
,ingenieurs,67,0.07986,6,DATA_IT,0.478,1.373
,vente,67,0.07986,6,MARKETING_SALES,0.418,3.438
,strategies,67,0.07986,6,DATA_IT,0.448,2.087
,industriels,67,0.07986,6,DATA_IT,0.403,1.89
,definition,67,0.07986,6,DATA_IT,0.522,1.454
,comprendre,66,0.07867,6,DATA_IT,0.409,1.919
,ecrit,66,0.07867,6,DATA_IT,0.409,1.679
,offres,66,0.07867,6,MARKETING_SALES,0.333,2.742
,environments,66,0.07867,5,DATA_IT,0.561,1.435
,interest,66,0.07867,6,DATA_IT,0.515,1.745
,day,66,0.07867,6,DATA_IT,0.424,2.05
,leadership,66,0.07867,5,DATA_IT,0.5,1.435
,testing,66,0.07867,5,DATA_IT,0.561,1.886
,include,66,0.07867,6,DATA_IT,0.545,1.198
,egalement,66,0.07867,6,DATA_IT,0.333,2.399
,etudes,66,0.07867,6,DATA_IT,0.439,1.439
,problemes,66,0.07867,5,DATA_IT,0.515,1.394
,personnes,66,0.07867,6,DATA_IT,0.364,1.919
,capable,66,0.07867,6,DATA_IT,0.364,1.496
,atout,65,0.07747,6,DATA_IT,0.431,2.082
,budget,65,0.07747,6,DATA_IT,0.415,2.915
,complex,65,0.07747,5,DATA_IT,0.538,1.249
,methodologies,65,0.07747,6,DATA_IT,0.6,1.318
,developing,65,0.07747,6,DATA_IT,0.462,1.392
,collaborative,65,0.07747,5,DATA_IT,0.508,1.537
,point,65,0.07747,6,DATA_IT,0.508,1.461
,leading,65,0.07747,6,DATA_IT,0.523,1.645
,player,65,0.07747,5,DATA_IT,0.615,1.352
,terrain,65,0.07747,5,ENGINEERING_INDUSTRY,0.246,2.435
,value,64,0.07628,5,DATA_IT,0.531,1.873
,understand,64,0.07628,5,DATA_IT,0.453,1.717
,various,64,0.07628,5,DATA_IT,0.609,1.799
,world,64,0.07628,6,DATA_IT,0.578,1.285
,contributing,64,0.07628,5,DATA_IT,0.578,1.607
,conditions,64,0.07628,6,DATA_IT,0.453,1.731
,action,64,0.07628,6,DATA_IT,0.469,1.285
